Seed,Nearest A1,Furthest A1,Average A1,Nearest A2,Furthest A2,Average A2,Nearest A3,Furthest A3,Average A3,Nearest B1,Furthest B1,Average B1,Nearest B2,Furthest B2,Average B2,Nearest B3,Furthest B3,Average B3,Nearest C1,Furthest C1,Average C1,Nearest C2,Furthest C2,Average C2,Nearest C3,Furthest C3,Average C3,Overall Nearest,Overall Furthest,Overall Average
133966484,652.8713,18819.26,6811.711,1477.4615,20562.91,9732.731,1614.773,38359.652,17304.322,1173.2672,21027.674,9883.306,2218.794,39086.383,18435.148,842.09644,65247.484,24634.055,728.594,15442.796,7291.1963,334.128,37331.383,12396.332,2030.6786,40308.953,19424.21,1230.2960205078125,32909.609375,13990.3349609375
135996260,524.95953,17504.29,8000.8286,594.3645,17233.922,8822.087,3514.6655,38028.05,18576.068,1601.7953,17457.486,9466.1045,1369.3704,44338.098,18485.957,3229.928,69149.125,29118.803,1205.5853,15468.6455,7824.7827,1163.3073,20774.834,9164.812,1333.807,35684.883,15913.998,1615.3092041015625,30626.591796875,13930.3818359375
137337552,1270.9746,16964.951,7770.6475,619.6495,21288.025,9683.691,1614.773,20732.217,10034.365,1756.154,20524.332,9598.929,1945.232,55305.9,21806.857,2358.938,54162.312,27511.8,813.4327,14649.052,6623.7114,1413.2635,34491.867,12026.423,1450.505,37593.11,19860.244,1471.435791015625,30634.640625,13879.6298828125
142265382,1421.1425,16355.112,7545.4644,1986.7668,18424.71,9523.9795,1272.7865,26874.078,12725.462,255.08127,19443.941,8541.713,606.462,54062.62,20865.92,3877.7798,68216.74,28011.814,321.70465,15502.444,6469.396,586.8859,18726.07,9036.322,1097.6418,47923.145,22230.2,1269.58349609375,31725.4296875,13883.36328125
142708007,921.4891,16372.817,7393.8696,1034.111,20951.855,9783.28,2447.7302,26049.084,13467.159,445.51532,19588.787,8998.884,712.7649,27403.861,13854.972,2537.2622,75033.46,30841.697,1153.4568,17807.152,6407.312,1260.1747,24419.67,9348.109,3757.2092,45478.438,22898.123,1585.523681640625,30345.013671875,13665.93359375
142751953,1558.1854,14903.413,6981.3013,1380.636,17706.656,8124.713,1671.031,41944.062,20088.205,549.55743,19415.992,10269.138,3390.8252,38408.473,17219.03,842.09644,61728.227,28842.262,859.8553,13283.8545,5573.719,875.2562,20267.658,10214.532,1450.505,43205.227,18219.566,1397.5498046875,30095.951171875,13948.0517578125
143865174,547.3311,12757.17,6176.1143,1201.923,17826.63,7896.9683,544.84625,30688.896,13724.304,549.55743,19540.695,9697.878,1369.3704,38663.965,17727.828,2358.938,76398.97,28435.88,851.5642,12558.33,4694.408,564.9411,42220.535,12251.256,986.3714,39617.145,21386.814,997.2047729492188,32252.482421875,13554.60546875
144395878,1021.60736,18886.322,6847.815,1831.6329,13359.475,7358.8433,659.0697,28019.734,12783.668,1334.9386,17228.61,7375.588,1590.8347,52626.9,22879.148,1844.9999,89961.59,36888.223,998.1977,15727.12,7353.5195,334.128,18057.064,8051.1826,2513.823,36380.38,16023.023,1347.6923828125,32249.6875,13951.2236328125
144901162,894.1784,17393.574,7491.359,1159.1472,19894.293,8758.314,544.84625,34064.004,17476.133,1100.7,19443.941,9860.658,1241.7163,31560.193,16157.559,2358.938,70973.21,28005.861,512.4438,14183.275,6554.177,564.9411,43455.7,16095.852,1698.2302,33384.15,12593.716,1119.4600830078125,31594.705078125,13665.958984375
147043766,226.15782,17504.29,7544.146,1477.4615,18532.465,8809.985,1274.1276,30622.887,14323.931,445.51532,19588.787,8917.806,1216.9216,39569.996,18555.008,2577.9634,59449.645,25269.373,1394.6976,16725.447,7716.7617,875.2562,41306.65,13106.446,1200.755,45876.332,21598.24,1187.650634765625,32130.72265625,13982.4111328125
150164534,547.3311,17490.473,6969.8755,1428.4669,15700.161,8161.8623,3904.5613,32113.072,15445.787,1600.817,16857.12,9221.647,712.7649,36217.723,18527.184,842.09644,64403.96,26720.271,828.523,17552.303,8374.067,602.99927,20475.723,9384.662,4201.6025,52739.62,21831.656,1629.906982421875,30394.4609375,13848.556640625
152101626,652.8713,16844.8,6887.101,884.71405,20468.43,10610.185,1720.205,45603.516,16197.594,1212.2782,18586.527,9992.256,1369.3704,30887.848,17320.908,3716.221,62355,23420.068,998.1977,15606.281,6778.874,564.9411,35966.926,12162.732,2264.8074,43813.926,21609.086,1487.0673828125,32237.02734375,13886.5341796875
152581236,1663.0875,16988.547,8129.5874,1159.1472,16547.633,7642.5845,2215.7761,37793.848,16593.432,552.7892,19088.992,8277.17,1216.9216,31750.525,16508.238,1990.9056,72600.29,27391.91,1885.4177,17552.303,8406.016,1571.369,35956.426,12733.327,2206.369,42343.023,19759.498,1606.86474609375,32291.287109375,13937.9736328125
153633378,1207.9999,17692.71,7392.6274,1186.4346,14533.462,7265.563,2405.5093,27264.545,13640,1337.487,21317.506,10246.337,1590.8347,33929.582,17797.645,3209.5732,78603.68,35207.35,688.1423,15402.308,7471.146,1267.9215,24419.67,9902.972,2302.5764,35501.914,16203.219,1688.4976806640625,29851.708984375,13902.984375
159615533,769.3411,18150.572,8193.772,1237.2297,18637.096,7842.962,1941.1638,35419.496,14277.328,777.9946,20024.352,9379.74,1017.9934,47907.87,19727.852,1387.2133,53345.473,25082.586,512.4438,16900.164,7656.0913,602.99927,18430.266,9709.2705,2685.5198,38614.406,19986.445,1214.6553955078125,29714.41015625,13539.560546875
163659049,1384.9316,18819.26,8215.092,1201.923,18531.336,8874.615,2827.0273,39268.918,15191.763,547.1742,15255.402,8283.85,712.7649,44899.97,20055.855,3716.221,51601.074,22951.443,1097.7778,14821.061,7547.367,722.4502,35973.72,12703.306,2030.6786,42945.45,19365.697,1582.32763671875,31346.2421875,13687.6650390625
166258013,1021.60736,16624.88,8464.999,1495.115,18389.9,8891.714,1167.325,27489.188,12500.534,768.0246,21581.06,10471.415,1933.7844,44344.23,19062.002,891.37085,70654.45,26252.48,781.307,16678.762,8970.242,1563.2466,21926.459,9977.407,2839.5803,54552.95,20825.412,1384.595703125,32471.3203125,13935.1337890625
166478140,750.20514,18202.07,7759.4473,619.6495,15859.195,7052.9287,1723.4113,38346.61,19049.775,917.72156,23722.297,10107.695,1216.9216,30887.848,15750.025,1304.2383,79361.68,24052.877,1410.9667,17836.016,7761.6514,564.9411,34733.445,9688.111,1333.807,57403.33,22377.205,1093.540283203125,35150.27734375,13733.3017578125
167563707,2001.0481,17604.969,7481.982,351.33493,16387.645,7022.6333,1875.2468,35419.496,17385.623,1304.9719,19859.727,8904.05,2899.856,44090.445,21464.316,1992.1698,44199.875,23880.312,512.4438,13175.505,6199.306,1317.1896,18255.217,7657.3257,2560.8552,54141.754,24007.656,1646.1240234375,29237.181640625,13778.1337890625
168636651,1146.458,16771.426,7729.8594,342.22363,18478.16,8260.566,2259.7976,41270.79,19340.371,2070.5142,21215.025,10819.418,712.7649,41027.203,19194.559,2577.9634,59868.777,25111.79,736.7304,11045.031,5644.704,1353.4342,31202.855,10874.722,986.3714,41475.61,16000.457,1354.0286865234375,31372.763671875,13664.0498046875
170877361,1060.4034,17672.371,8112.7505,1033.3099,14770.26,8124.994,1749.7263,32643.75,16302.888,1544.1012,22503.828,10943.667,3858.6018,36360.39,18889.082,3229.928,65036.895,27271.6,938.8652,16643.357,7207.2656,832.5928,16143.662,8238.236,4264.715,42500.117,20898.627,2056.916015625,29363.84765625,13998.7900390625
